year,month,day,issue,num_pages,topics,subtopics,method
1901,02,15,50,8,habe er|versch do|der die|bank 500|90 do,habe|er|ich|daß|ſei,bertopic
1901,02,16,51,16,berlin gratis|die der|mark millionen|roman das|zeuge ich,berlin|gratis|er|bank|hamburg,bertopic
1901,02,16,52,8,die der|500 10|do 10|bank credit|do 10,die|der|iſt|zu|in,bertopic
1901,02,17,53,16,die der|berlin teil|chan ſie|habe ich|bremen berlin,die|der|des|in|dem,bertopic
1901,02,18,54,8,500 000|fr do|für der|der die|bank 750,500|000|250|12|10,bertopic
1901,02,19,55,16,berlin frankfurter|die der|februar do|daß ich|majestät echt,berlin|frankfurter|fabrik|mk|allee,bertopic
1901,02,19,56,8,der die|100 103|00 br|500 000|versch 1900,der|die|und|in|von,bertopic
1901,02,20,57,16,mk 50|die der|ein die|st thomas|daß ſei,mk|50|und|für|in,bertopic
1901,02,20,58,8,000 500|er der|die werden|st do|unk 1117,000|500|10|do|500 do,bertopic
1901,02,21,59,16,er und|die der|die der|strasse und|die der,er|und|ich|das|zu,bertopic
1901,02,21,60,8,93 1900|der für|und die|die der|bank 86,93|1900|11 10|1899|verschl,bertopic
1901,02,22,61,16,die den|herr berlin|der das|nach angeklagten|rußland iſt,die|den|der|ſich|iſt,bertopic
1901,02,22,62,8,11 10|bank do|die der|der und|am von,11|10|000|500|do,bertopic
1901,02,23,63,16,die der|ſie und|inſtitut frank|fabrik leicht|flaschen 00,die|der|in|rußland|wie,bertopic
1901,02,23,64,8,500 000|12 15|bank credit|daß der|71 1ʃ7,500|000|750|250|100,bertopic
1901,02,24,65,16,er ich|der von|durand dupont|mk vorjahre|der die,er|ich|es|obſtfelder|nicht,bertopic
1901,02,25,66,8,10 12|000 006|bank credit|märz im|93 101,10|12|15|brauerei|13,bertopic
1901,02,26,67,16,strasse berlin|es iſt|mererheim er|du und|ade diebessichere,strasse|berlin|10|24|köln,bertopic
1901,02,26,68,8,10 do|500 006|mk 000 mk|bank credit|1117 100,10|do|100|11|71,bertopic
1901,02,27,69,16,die und|die das|100 00|die und|tochter mutter,die|und|der|er|in,bertopic
1901,02,27,70,8,10 do|der die,10|do|11|500|100,bertopic
1901,02,28,71,16,strasse amt|die der|der nicht|man ski|100 do,strasse|amt|berlin|fabrik|no,bertopic
1901,02,28,72,8,der die|do 11|71 11|bank credit|ſei die,der|die|in|des|den,bertopic
1901,03,01,73,12,der und|ich wir|pf 25|millionen die|der eine,der|und|dem|die|den,bertopic
1901,03,01,74,8,do 10|bank do|verschl 1896|73 74|doll mk,do|10|12|masch|15,bertopic
1901,03,02,75,18,johann oeter|breitinger der|fabrik mk|blumen in|000 millionen,johann|oeter|du|hat|ich,bertopic
1901,03,02,76,8,do versch|sonntag montag|500 006|12 15|bank 000,do|versch|verschl|10|gd,bertopic
1901,03,03,77,16,strasse berlin|du die|der die|stern der|preis kostenlos,strasse|berlin|und|gegründet|hamburg,bertopic
1901,03,04,78,8,der die|000 500|berlin deutsche|500 138|bank 000,der|die|und|mk|für,bertopic
1901,03,05,79,16,berlin fabrik|ſie mädchen|ich mir|die der|sind und,berlin|fabrik|elegante|für|und,bertopic
1901,03,05,80,8,000 500|12 1ʃ7|er zu|bank do|unk versch,000|500|750|11|250,bertopic
1901,03,06,81,16,ſie ilka|der dem|die genoſſenſchaft|die des|jahre berlin,ſie|ilka|ſchöne|ſchöne ilka|vier,bertopic
1901,03,06,82,8,10 do|die der|bank do|der die|der marſchall,10|do|11|100|000,bertopic
1901,03,07,83,16,nicht iſt|berlin uhr|die der|die für|ſie ilka,nicht|iſt|das|er|ſie,bertopic
1901,03,07,84,8,12 brauerei|von im|1900 1899|bank do|die sich,12|brauerei|10|15|00,bertopic
1901,03,08,85,16,er den|die der|er und|berlin an der|ſie und,er|den|hat|und|die,bertopic
1901,03,08,86,8,10 11|12 10|mk von|bank do|in der,10|11|103|006|do,bertopic
1901,03,09,87,16,ich ſie|ihn ein|ein aus|der die|berlin fabrik,ich|ſie|war|und|mich,bertopic
1901,03,09,88,8,12 15|do 10|die sich|bank 750|mk dividende,12|15|00|do|14,bertopic
1901,03,10,89,16,von und|er du|heine man|die und|und die,von|und|50|uhr|berlin,bertopic
1901,03,11,90,8,do versch|135 100|000 10|73 do|der und,do|versch|10|anl|st,bertopic
1901,03,12,91,16,die wie|berlin strasse|die der|fabrik mk|00 50,die|wie|ſich|es|und,bertopic
1901,03,12,92,8,die der|bank do|750 11|1900 93|mk 75,die|der|und|von|mit,bertopic
1901,03,13,93,16,die der|prospekte wissenschaften|er mit|schnee ein|anfang uhr anfang,die|der|im|iſt|des,bertopic
1901,03,13,94,8,1900 versch|000 500|00b6 10|der des|do 71,1900|versch|93|10|92,bertopic
1901,03,14,95,16,du ſie|die es|des der|50 pf|schnur wir,du|ſie|er|ſo|ganz,bertopic
1901,03,14,96,8,die der|12 brauerei|75 50|für von|sich dampfer,die|der|und|zu|dem,bertopic
1901,03,15,97,16,berlin geb|00 50|des der|der daß|arzt prospekte,berlin|geb|strasse|kaiser|ohme,bertopic
1901,03,15,98,8,10 do|die der|das den|der die|bank credit,10|do|500|11|100,bertopic
1901,03,16,100,8,10 do|der die|bank credit|74 88,10|do|500|000|100,bertopic
1901,03,16,99,16,war das|berlin in akten|100 chriſtentum|des die|das er,war|das|ich|er|es,bertopic
1901,03,17,101,16,habe er|ehe herzog|berlin amt|ein die|ein ecke,habe|er|der|daß|zu,bertopic
1901,03,17,102,8,12 15|500 000|er und|bank credit|in die,12|15|brauerei|10|14,bertopic
1901,03,19,103,12,berlin no|ſie ihr|1901 märz 1901|die von|wir die,berlin|no|strasse|hamburg|filialen,bertopic
1901,03,19,104,8,die im|bank do|006 do|der und|101 versch,die|im|mk|der|von,bertopic
1901,03,20,105,16,er der|flaschen sh|er nicht|die den|arbeitergärten 500,er|der|daß|den|zu,bertopic
1901,03,20,106,8,12 15|500 000|71 73|stöcker daß|bank do,12|15|10|brauerei|1ʃ7,bertopic
1901,03,21,107,16,du nella|landrichter dem|der 18 märz|offiziere mark|00 50,du|nella|clara|mama|frau clara,bertopic
1901,03,21,108,8,12 10|500 250|1899 unk|bank credit|die sei,12|10|14|15|103,bertopic
1901,03,22,109,16,berlin fabrik|kronen 1900|rußland england|märz 1901 1901|der von,berlin|fabrik|strasse|hamburg|co,bertopic
1901,03,22,110,8,die der|die der|10 versch|bank credit|50 00,die|der|in|und|daß,bertopic
1901,03,23,111,16,berlin fabrik|theater uhr|ſie uns|00 50|geb frau,berlin|fabrik|dresden|köln|hamburg,bertopic
1901,03,23,112,8,bergbau bergwerk|bank do|10 118 500|99 96|50 116,bergbau|bergwerk|50|00|rhein,bertopic
1901,03,24,113,16,general des|er sie|dr für|mk 1900|1901 geb,general|des|der|die|daß,bertopic
1901,03,25,114,8,die sich|do 10|bank 500|do 500|die nicht,die|sich|für|der|und,bertopic
1901,03,26,115,8,frau von|chef komp|von preußen preußen|erzieher kadettenhauſe|1900 000,frau|von|carl|seine|theater,bertopic
1901,03,26,116,8,10 500|94 101|000 brauerei|bank credit|00 50,10|500|111|100|000,bertopic
1901,03,27,117,20,regt nr|herr richter|den der|erster zweiter|hamburg musterbuch,regt|nr|fußart|regts|feldart,bertopic
1901,03,27,118,20,ſie er|bank 116|dolen deutſchen|97 st|die von,ſie|er|ihr|kata|alte,bertopic
1901,03,28,119,20,kreiſe im kreiſe|die wird|uhr anfang|frau herr|das dem,kreiſe|im kreiſe|patent|im|nr,bertopic
1901,03,28,120,8,do 10 do|11 10|der die|17 do|000 500,do|10 do|10|97|1898,bertopic
1901,03,29,121,20,sonnabend uhr|landw des landw|mk sich|uhr april|ruſſiſchen die,sonnabend|uhr|von|uhr sonnabend|theater,bertopic
1901,03,29,122,8,90 93|für die|cement 000|kaiſer und|ich adams,90|93|101|do|11,bertopic
1901,03,30,123,20,von musik|du ich|frl herr|stück für|juſtizverwaltung die,von|musik|akten|oscar|in akten,bertopic
1901,03,30,124,8,00 25|die in|die der|versch do|bank do,00|25|eisenb|50|11,bertopic
1901,03,31,125,12,der und|berlin mk|das die|die der|pf pid,der|und|die|er|in,bertopic
1901,04,01,126,8,der die|bank 00|12 500|100 103|164 143,der|die|und|in|des,bertopic
1901,04,02,127,20,könig regt|ist dass|regt nr|wir ein|märz 1901 1901,könig|regt|von preußen|nr|preußen,bertopic
1901,04,02,128,8,die sich|bank credit|000 500|000 10|103 100,die|sich|der|aktien|gesellschaft,bertopic
1901,04,03,129,20,sie ſie|die der|beim märz|die einfuhr|für apparate,sie|ſie|was|ihr|man,bertopic
1901,04,03,130,8,000 500|der die|do 101|bank credit|750 103,000|500|12|250|005g,bertopic
1901,04,04,131,20,nachm theater|ſie er|prüfung der|00 25|das und,nachm|theater|band|von|geschlossen,bertopic
1901,04,04,132,8,111 12|bank 116|versch 95|99 74|versch versch versch,111|12|11|000|10,bertopic
1901,04,05,133,20,sonnabend anfang|ich du|mindeſtens müſſen|truppen am|eingeborenen weißen,sonnabend|anfang|sonntag|anfang uhr|uhr,bertopic
1901,04,06,134,8,die der|den des|500 000|00 50|der die,die|der|von|in|sich,bertopic
1901,04,07,135,20,er alcibiades|als es|1901 berlin|nach in|der die,er|alcibiades|gratteloup|ich|künſtler,bertopic
1901,04,09,136,8,bank 250|der die|des kaiſer|von der|500 10,bank|250|do|000|7550,bertopic
1901,04,10,137,20,der die|theater in akten|00 50|in dem|daß der herr,der|die|des|er|ſich,bertopic
1901,04,10,138,8,10 do|die in|der dass|der des|millionen mark,10|do|500|11|000,bertopic
1901,04,11,139,20,hamburg berlin|iſt ſo|er ſie|bei herr|herr sohn,hamburg|berlin|th|deutschen|albert,bertopic
1901,04,11,140,8,der und|die der|do 110|do versch|22 15,der|und|die|den|des,bertopic
1901,04,12,141,20,habe baumann|schauſpieler wir|herr geb|auch die|der ein,habe|baumann|ſei|er|habe er,bertopic
1901,04,12,142,8,sich in|habe baumann|111 versch|000 500|12 171,sich|in|die|dass|und,bertopic
1901,04,13,143,20,der des|er ich|der die|00 75|berlin co,der|des|die|im|königin,bertopic
1901,04,13,144,8,bank 750|die der|00 50|000 do|in der,bank|750|250|000|123,bertopic
1901,04,14,145,20,herr frau|gratis berlin|turlendana ſich|rußland china|herr durch,herr|frau|tochter|frl|anzuzeigen,bertopic
1901,04,14,146,8,versch do|der er|sich noch|der in|00 25,versch|do|14 10|10|unk,bertopic
1901,04,16,147,20,der oſtſee oſtſee|gr gegen|angetreten expedition|muſeum will|wenn narren,der oſtſee|oſtſee|see|zur see|zur,bertopic
1901,04,16,148,8,10 000|die in|bank 250|der er|er den,10|000|500|do|11,bertopic
1901,04,17,149,20,für mk|die iſt|wein kräuter|paris in paris|er ich,für|mk|sind|50|sh,bertopic
1901,04,17,150,8,sich mk|do versch|der in|500 000|bank 000,sich|mk|die|der|in,bertopic
1901,04,18,151,12,von in|er das|nicht ein|und köln|der zu,von|in|berlin|50|für,bertopic
1901,04,18,152,8,bank do|er der|10 101|ist und|kaiſer dem,bank|do|000|500|250,bertopic
1901,04,19,152,8,die der|nr kommandeur|auf die|werden den|75 sh,die|der|nicht|es|ſich,bertopic
1901,04,19,153,12,stück in|gesucht von|die und|daß general|ich du,stück|in|mark|und|von,bertopic
1901,04,19,154,8,versch 10|bank credit|100 000|11 111|do 000,versch|10|95|14 10|do,bertopic
1901,04,20,155,20,ich ſie|schutzfriſt verlängerung|verkaufen ist|schumann berlin|april 00,ich|ſie|sie|er|nicht,bertopic
1901,04,20,156,8,78 000|versch 101|die der|bank 750|mk waren,78|000|10|106|12,bertopic
1901,04,21,157,20,abg der|bericht erie|00 50|1901 april 1901|franz herr,abg|der|verleger|die|nicht,bertopic
1901,04,22,158,8,100 do|versch 101|auf ist|11 do ges|der anleihe,100|do|111|10|250,bertopic
1901,04,23,159,20,er suſie|verkaufen ist|saccharin zucker|00 25|er war,er|suſie|und|sparbüchſe|war,bertopic
1901,04,23,160,8,do 101|18 13|250 500|der er|250 500,do|101|10|versch|93,bertopic
1901,04,24,161,20,feldart regt|er du|mit km|april uhr|25 75,feldart|regt|nr|regts|hauptm,bertopic
1901,04,24,162,8,der und|bank 134|er der|versch do|die daß,der|und|die|des|dem,bertopic
1901,04,25,163,20,daß bahn|im kreiſe kreiſe|suche zeugnisse|kaiſer studentenſchaft|deutſchen heſſiſchen,daß|bahn|die|der|hat,bertopic
1901,04,25,164,8,10 000|die mark|die der|in und|der berlin,10|000|100|11|750,bertopic
1901,04,26,165,20,kaiſer der kaiſer|ſie sarah|der von|fußart art|regierung die,kaiſer|der kaiſer|er|der|den,bertopic
1901,04,26,166,8,die der|in die|25 00|der von|do 14 10,die|der|in|des|und,bertopic
1901,04,27,167,20,ſind noch|ich mir|gen genehmigung|landw landw bezirk|reise allgemein,ſind|noch|die|der|griesheim,bertopic
1901,04,27,168,8,versch do|10 00|bank credit|dividende die|und die,versch|do|1900|1899|10,bertopic
1901,04,28,169,20,uniform penſion|landw bezirks|die daß|verwalt garn|es ich,uniform|penſion|regts|uniform des|der uniform,bertopic
1901,04,29,170,8,bank 133|der in|sich nicht|90 1899|den der,bank|133|116|800|750,bertopic
1901,04,30,171,20,der die|die und|ſie ich|garten verkaufen|mai april,der|die|den|daß|nicht,bertopic
1901,04,30,172,8,10 500|die der|der die|bank do|millionen er,10|500|000|100|11,bertopic
1901,05,01,173,20,sonntag sonnabend|eine shylock|theater akten von|uhr uhr ende|gesucht jahre,sonntag|sonnabend|nachm|mörder|uhr,bertopic
1901,05,01,174,8,bank 000|die der|10 13|ich ein|er der,bank|000|00|do|credit,bertopic
1901,05,02,175,20,nr könig|ſie doktor|vater iſt|berliner theater|aufgebots oberlt,nr|könig|armeekorps|ernannt|dem,bertopic
1901,05,02,176,8,der das|die der|in die|mk kg|der frau,der|das|und|die|in,bertopic
1901,05,03,177,20,berlin verlag|er war|uhr uhr ende|ein in|dem des,berlin|verlag|im kreiſe|kreiſe|co,bertopic
1901,05,03,178,8,der die|bank do,der|die|10|und|in,bertopic
1901,05,04,179,28,102 do|gesellschaft ist|er du|uhr sonntag|do 750,102|do|000|103|12,bertopic
1901,05,04,180,8,bank do|versch do|00 eisenb|000 500|die der,bank|do|500|10|250,bertopic
1901,05,05,181,20,mk 000|sucht gehaltsansprüche|viviane ſie|mai 1901 1901|maschinen qualität,mk|000|000 mk|die|von,bertopic
1901,05,05,182,8,14 12|als des|93 do|1ʃ7 80|500 1000,14|12|11|10|15,bertopic
1901,05,07,183,19,uhr ende|wirt seelen|mit den|haben ſind|millionen millionen mark,uhr|ende|uhr ende|anfang|anfang uhr,bertopic
1901,05,07,184,8,bank 000|das von|er frau|000 83|cement 18,bank|000|do|250|500,bertopic
1901,05,08,185,20,bank do|er und|gesucht zum|do unk|500 000,bank|do|credit|250|750,bertopic
1901,05,08,186,8,bank do|des der|mk bis|12 14|1000 500,bank|do|500|000|credit,bertopic
1901,05,09,187,20,die der|lieſa tobias|uhr drahtbericht|00 50|beim des,die|der|daß|nicht|ich,bertopic
1901,05,09,188,8,do 111|10 versch|königin die|der die|bank credit,do|111|100|10|101,bertopic
1901,05,10,189,20,herr personen|offerten stellung|000 fr|gewerbegerichte 20 000|uhr sonnabend,herr|personen|max|frl|von,bertopic
1901,05,10,190,8,bank do|do st|die für|000 do|die und,bank|do|00|250|127,bertopic
1901,05,11,191,20,die abg|und die|preise für|uhr uhr ende|herr seine,die|abg|der|werden|den,bertopic
1901,05,11,192,8,116 500|der daß|000 500|die der|25 11,116|500|do|000|credit,bertopic
1901,05,12,193,19,photographie sucht|herr frl|prospecte bei|maschinenfabrik bis|00 25,photographie|sucht|gesucht|jahre|stellung,bertopic
1901,05,13,194,8,do 000|500 000|die in|do 1900|die und,do|000|500|10|116,bertopic
1901,05,14,195,20,kommiſſion die|gesucht berlin|er und|waren baumann|ich mich,kommiſſion|die|daß|der kommiſſion|der,bertopic
1901,05,14,196,8,mk 50|in und|bank 750|000 500|feuer in,mk|50|fass|rüböl|57,bertopic
1901,05,15,197,20,werden der|ich er|und die der|zu im kreiſe|der kaiſer,werden|der|reichstag|die|des,bertopic
1901,05,15,198,8,bank 000|mk bis|do 1900|die sich|abg ich,bank|000|do|116|750,bertopic
1901,05,16,199,20,berlin le|abſtimmung abg|suche photographie|00 mark|ich mich,berlin|le|für|und|stuttgart,bertopic
1901,05,17,200,8,der die|die von|bank credit|der des|in ſie,der|die|in|und|auf,bertopic
1901,05,18,201,20,ige 00|zeugnisabschriften offerten|fabrik und|königin der|des schiffes die,ige|00|25|50|75,bertopic
1901,05,18,202,8,500 000|der von|bank do|versch do|die der,500|000|do|750|00,bertopic
1901,05,19,203,20,du ich|frau franz|mk 50|etwa truppen|stellung mit,du|ich|deine|es|nicht,bertopic
1901,05,19,204,8,1900 do|50 00|der kaiſer|do 170|die sich,1900|do|kronen|1898|april,bertopic
1901,05,21,205,20,ich mich|und iſt|die den|der des|uhr uhr ende,ich|mich|mir|nicht|wie,bertopic
1901,05,21,206,8,der die|die der|bank 00|do 11|er ſich,der|die|in|des|und,bertopic
1901,05,22,207,20,leipzig berlin|ich mich|sich geschäftsstellen|nr regt|wiener und,leipzig|berlin|gastspiel|im verein|preis,bertopic
1901,05,22,208,8,mk bis|bank do|die arbeiter|die sich|90 versch,mk|bis|52|kg|56,bertopic
1901,05,23,209,20,man die|könig die|berlin für|er ſie|uhr ende,man|die|daß|kunſt|iſt,bertopic
1901,05,23,210,8,der und|bank credit|do versch|000 do|aktien die,der|und|von|das|die,bertopic
1901,05,24,211,20,aufgebots inf|des der|ſie du|pf nachnahme|april waren,aufgebots|inf|der inf|des|lt,bertopic
1901,05,24,212,8,500 10|für mk|versch 10|bank 800|der von,500|10|000|103|1ʃ7,bertopic
1901,05,25,213,20,haus fabrik|kommandeur nr|berlin frankfurt|regt feldart|wir see,haus|fabrik|mit|für|neue,bertopic
1901,05,25,214,8,10 500|der die|do 1900|die der|bank do,10|500|1ʃ7|do|000,bertopic
1901,05,26,215,20,bisher berlin|die und|110 000|stimmen millionen mark|ingenieur wollermann,bisher|berlin|bisher in|taubſtummenanſtalt|pf,bertopic
1901,05,28,216,8,250 101|die ein|00 75|bank credit|11 do,250|101|500|do|750,bertopic
1901,05,29,217,20,des königlichen|photographie offerten|die ſind|00 75|uhr anfang uhr,des|königlichen|königlich|ordens|dem,bertopic
1901,05,29,218,8,ist der|marten er|der die|93 do|der die,ist|der|die|in|sich,bertopic
1901,05,30,219,20,für den dr|uhr freitag|ſich die|spargel der spargel|kreisphyſiker dr,für den|dr|landkreis|für|sanitätsrat,bertopic
1901,05,30,220,8,die dass|10 do|bank do|versch 11|mk genährte,die|dass|der|nicht|in,bertopic
1901,05,31,221,20,stabe marineſtation|marokko nicht|königin der|ſie ein|sie ich,stabe|marineſtation|marineſtation der|see|der marineſtation,bertopic
1901,05,31,222,8,do 10|mk die|er der|bank credit|1900 93,do|10|111|000|102,bertopic
1901,06,01,223,20,ſie ihr|theater uhr|und iſt|frau ich|skopek sie,ſie|ihr|hatte|ſo|sie,bertopic
1901,06,01,224,8,der und|versch do|1ʃ7 500|nordostbahn sind|do do st,der|und|den|war|ich,bertopic
1901,06,02,225,20,und ich|herr frau|uhr anfang|1901 mai 1901|mk dass,und|ich|es|ſie|wie,bertopic
1901,06,03,226,8,die der|die der|1900 versch|von der|den die,die|der|ist|sich|sind,bertopic
1901,06,04,227,20,herr frau|ſie ſich|dr rechtsanwälten|00 25|1901 juni,herr|frau|fräulein|geb|frl,bertopic
1901,06,04,228,8,10 versch|bank 750|do 000|ist sind|die zu,10|versch|do|10 10|1899,bertopic
1901,06,05,229,28,111 10|die der|ich er|kaſerneninſp probe|do 93,111|10|500|000|12,bertopic
1901,06,05,230,8,bank credit|und bis|der die|105 100|millionen francs,bank|credit|verein|do|115,bertopic
1901,06,06,231,20,ich mir|juni 1901 juni|sucht offerten|theater uhr|man nicht,ich|mir|ihr|ſie|frau,bertopic
1901,06,06,232,8,bank 000|do versch|die der|der ſie|000 do,bank|000|do|50|00,bertopic
1901,06,07,233,19,uhr sonnabend|mich ich|mk 60|leipzig verlag|nr 145,uhr|sonnabend|uhr sonnabend|ende|uhr ende,bertopic
1901,06,07,234,8,10 500|der des|die der|in der|die der,10|500|000|100|11,bertopic
1901,06,08,235,20,iſt mädchen|ich mich|kommandeur nr|stück mk|deutſchen der,iſt|mädchen|die|das|es,bertopic
1901,06,08,236,8,bank 000|do unk|84 500|er ein|00 50,bank|000|500|do|125,bertopic
1901,06,09,237,20,der die|berlin strasse|bisher oſtaſiat|ſie die|und die,der|die|des|zu|den,bertopic
1901,06,10,238,8,500 do|sich die|ich und|90 99|rothſchild der,500|do|0056|000|18,bertopic
1901,06,11,239,19,man iſt|frl herr|nicht ein|sucht berlin|25 ige,man|iſt|die|ſich|und,bertopic
1901,06,11,240,8,do versch|die der|und von|bank 113|botha krüger,do|versch|11|14 10|14,bertopic
1901,06,12,241,20,herr personen|eines oder|ſei die|ſie hatte|stück 100,herr|personen|sein|seine|frau,bertopic
1901,06,12,242,8,000 500|versch do|dem der|krüger der|brauerei 12,000|500|006|250|10,bertopic
1901,06,13,243,20,stück 50|berlin de|stabe von der|frau geb|nr oberſt,stück|50|pf|100|ca,bertopic
1901,06,13,244,8,10 000|der die,10|000|500|11|12,bertopic
1901,06,14,245,20,er ſie|uhr der|frl herr|photographie vertraut|mk 000,er|ſie|war|das|und,bertopic
1901,06,14,246,8,der die|versch 1900|103 100|98 91|bank 5000,der|die|des|in|dass,bertopic
1901,06,15,247,20,des dem|ſie er|die das|personen geb|000 pct,des|dem|der|den|von,bertopic
1901,06,15,248,8,10 do|die zu|ſie die|die in|der dass,10|do|000|11|12,bertopic
1901,06,16,249,19,er ſie|sind für|herr frau|bismarck er|in tientſin,er|ſie|war|ſo|hatte,bertopic
1901,06,17,250,8,10 11|00 75|ist der|die der|der dem,10|11|do|96|versch,bertopic
1901,06,18,251,20,er die|dr geheimer|man derby|ſie nutje|kaiſer der kaiſer,er|die|zu|in|der,bertopic
1901,06,18,252,8,000 750|bank 750|do versch|103 st|kaiſer der,000|750|500|12|10,bertopic
1901,06,19,253,19,ſie ihr|geb frau|regt nr|uhr anfang|ſei daß,ſie|ihr|sie|er|war,bertopic
1901,06,19,254,8,do 000|12 10|die der|11 500|bank 118,do|000|100|11|102,bertopic
1901,06,20,255,20,regt nr|penſion penſion und|musketiere gefreiter|grimm hermann|dr reſ,regt|nr|im|inf regt|inf,bertopic
1901,06,20,256,8,die der|bank 750|10 500|der die|versch 10,die|der|von|den|in,bertopic
1901,06,21,257,20,er sie|leipzig geb|co gesellschaften|funckbrentano die|morgen dresden,er|sie|und|ſie|fräulein,bertopic
1901,06,21,258,8,versch 10|köln daß|bank credit|500 000|005g 97,versch|10|do|101|94,bertopic
1901,06,22,259,20,ab auguſt|er ihn|mk 50|uhr uhr ende|dr gerichtsaſſeſſor,ab|auguſt|september|an|auguſt an,bertopic
1901,06,22,260,8,1900 101|bank credit|die der|bergwerk 00|00 cement,1900|101|1899|do|98,bertopic
